"","key","age_upon_intake","animal_id.x","animal_type.x","breed.x","color.x","Intake_Date","found_location","intake_condition","intake_type","name.x","sex_upon_intake","rank.x","age_upon_outcome","animal_id.y","animal_type.y","breed.y","color.y","date_of_birth","Outcome_Date","name.y","outcome_subtype","outcome_type","sex_upon_outcome","rank.y"
"452","A473179.1","7 years","A473179","Dog","Labrador Retriever Mix","Tan/White","2013-12-04T11:13:00.000","Austin (TX)","Normal","Euthanasia Request","Rodeo","Neutered Male",1,"7 years","A473179","Dog","Labrador Retriever Mix","Tan/White","2006-10-26T00:00:00","2013-12-04T15:48:00","Rodeo","Aggressive","Euthanasia","Neutered Male",1
"453","A473353.1","12 years","A473353","Dog","Miniature Schnauzer Mix","Gray","2016-07-07T13:48:00.000","1125 Salina St in Austin (TX)","Normal","Public Assist","Sheba","Spayed Female",1,"12 years","A473353","Dog","Miniature Schnauzer Mix","Gray","2004-06-05T00:00:00","2016-07-10T18:56:00","Sheba","","Return to Owner","Spayed Female",1
"454","A474000.1","11 years","A474000","Cat","Domestic Longhair Mix","Brown Tabby","2017-08-08T16:06:00.000","Austin (TX)","Normal","Owner Surrender","Peabody","Neutered Male",1,"11 years","A474000","Cat","Domestic Longhair Mix","Brown Tabby","2006-07-27T00:00:00","2017-08-12T18:12:00","Peabody","","Adoption","Neutered Male",1
"455","A474000.2","11 years","A474000","Cat","Domestic Longhair Mix","Brown Tabby","2017-12-03T11:25:00.000","Outside Jurisdiction","Normal","Owner Surrender","Peabody","Neutered Male",2,"11 years","A474000","Cat","Domestic Longhair Mix","Brown Tabby","2006-07-27T00:00:00","2017-12-29T17:49:00","Peabody","","Adoption","Neutered Male",2
"456","A474001.1","11 years","A474001","Cat","Domestic Longhair Mix","White","2017-08-08T16:06:00.000","Austin (TX)","Normal","Owner Surrender","Samantha","Spayed Female",1,"11 years","A474001","Cat","Domestic Longhair Mix","White","2006-07-27T00:00:00","2017-08-12T18:12:00","Samantha","","Adoption","Spayed Female",1
"457","A474001.2","11 years","A474001","Cat","Domestic Longhair Mix","White","2017-12-03T11:25:00.000","Outside Jurisdiction","Normal","Owner Surrender","Samantha","Spayed Female",2,"11 years","A474001","Cat","Domestic Longhair Mix","White","2006-07-27T00:00:00","2017-12-29T17:49:00","Samantha","","Adoption","Spayed Female",2
"458","A474311.1","8 years","A474311","Cat","Domestic Shorthair Mix","Brown Tabby","2015-02-22T12:39:00.000","Austin (TX)","Normal","Stray","Shadow","Neutered Male",1,"8 years","A474311","Cat","Domestic Shorthair Mix","Brown Tabby","2006-11-05T00:00:00","2015-05-05T11:27:00","Shadow","","Adoption","Neutered Male",1
"459","A474539.1","11 years","A474539","Dog","Labrador Retriever","Buff/Tan","2014-12-21T12:33:00.000","Westgate And Davis Lane in Austin (TX)","Normal","Stray","Dudley","Neutered Male",1,"11 years","A474539","Dog","Labrador Retriever","Buff/Tan","2003-06-07T00:00:00","2014-12-21T13:23:00","Dudley","","Return to Owner","Neutered Male",1
"460","A474852.1","10 years","A474852","Dog","German Shepherd Mix","Tan","2016-09-02T12:09:00.000","Austin (TX)","Normal","Public Assist","Atlas","Neutered Male",1,"10 years","A474852","Dog","German Shepherd Mix","Tan","2006-06-10T00:00:00","2016-09-09T11:06:00","Atlas","","Return to Owner","Neutered Male",1
"461","A475812.1","9 years","A475812","Dog","Chihuahua Shorthair","Yellow","2015-05-08T17:49:00.000","Us-183 & Loyola Ln in Austin (TX)","Normal","Stray","Francis","Spayed Female",1,"9 years","A475812","Dog","Chihuahua Shorthair","Yellow","2006-03-17T00:00:00","2015-05-12T14:42:00","Francis","","Return to Owner","Spayed Female",1
"462","A475943.1","13 years","A475943","Dog","Miniature Poodle","White","2013-12-26T17:03:00.000","1607 Garden in Austin (TX)","Normal","Stray","Rosie","Spayed Female",1,"13 years","A475943","Dog","Miniature Poodle","White","2000-06-19T00:00:00","2013-12-26T18:42:00","Rosie","","Return to Owner","Spayed Female",1
"463","A475943.2","13 years","A475943","Dog","Miniature Poodle","White","2014-03-13T16:08:00.000","Chicon And 4Th in Austin (TX)","Normal","Stray","Rosie","Spayed Female",2,"13 years","A475943","Dog","Miniature Poodle","White","2000-06-19T00:00:00","2014-03-13T16:30:00","Rosie","","Return to Owner","Spayed Female",2
"464","A475944.1","6 years","A475944","Dog","Labrador Retriever Mix","Black/White","2013-12-08T12:04:00.000","Montopolis Dr/E Riverside Dr in Austin (TX)","Normal","Stray","Negra","Spayed Female",1,"6 years","A475944","Dog","Labrador Retriever Mix","Black/White","2007-04-27T00:00:00","2013-12-08T13:07:00","Negra","","Return to Owner","Spayed Female",1
"465","A475944.2","7 years","A475944","Dog","Labrador Retriever Mix","Black/White","2014-06-07T12:29:00.000","Riverside & Montopolis in Austin (TX)","Normal","Stray","Negra","Spayed Female",2,"7 years","A475944","Dog","Labrador Retriever Mix","Black/White","2007-04-27T00:00:00","2014-06-08T17:39:00","Negra","","Return to Owner","Spayed Female",2
"466","A476054.1","6 years","A476054","Dog","Labrador Retriever Mix","Black/White","2015-05-07T14:00:00.000","2529 Winsted in Austin (TX)","Normal","Public Assist","*Tula","Spayed Female",1,"6 years","A476054","Dog","Labrador Retriever Mix","Black/White","2008-08-25T00:00:00","2015-05-16T14:03:00","*Tula","","Return to Owner","Spayed Female",1
"467","A476054.2","6 years","A476054","Dog","Labrador Retriever Mix","Black/White","2015-08-18T11:03:00.000","2529 Winsted in Austin (TX)","Normal","Stray","*Tula","Spayed Female",2,"7 years","A476054","Dog","Labrador Retriever Mix","Black/White","2008-08-25T00:00:00","2015-09-12T12:27:00","*Tula","","Adoption","Spayed Female",2
"468","A476298.1","13 years","A476298","Dog","Australian Cattle Dog","Blue Tick","2017-08-27T10:36:00.000","7112 Ed Bluestein Boulevard in Austin (TX)","Normal","Stray","Achilles","Neutered Male",1,"13 years","A476298","Dog","Australian Cattle Dog","Blue Tick","2004-06-27T00:00:00","2017-08-27T18:38:00","Achilles","","Return to Owner","Neutered Male",1
"469","A476605.1","7 years","A476605","Dog","Pit Bull Mix","Black/White","2014-09-22T20:24:00.000","9715 Ochiltree Dr in Austin (TX)","Normal","Stray","Zero","Intact Male",1,"7 years","A476605","Dog","Pit Bull Mix","Black/White","2006-10-25T00:00:00","2014-09-28T18:46:00","Zero","","Return to Owner","Neutered Male",1
"470","A476605.2","9 years","A476605","Dog","Pit Bull Mix","Black/White","2016-02-23T16:27:00.000","1111 Crown Ridge in Austin (TX)","Normal","Stray","Zero","Neutered Male",2,"9 years","A476605","Dog","Pit Bull Mix","Black/White","2006-10-25T00:00:00","2016-02-24T18:14:00","Zero","","Return to Owner","Neutered Male",2
"471","A476642.1","9 years","A476642","Cat","Domestic Shorthair Mix","Black","2014-10-06T21:57:00.000","Barbara Jordan Blvd in Austin (TX)","Normal","Stray","Polly","Spayed Female",1,"9 years","A476642","Cat","Domestic Shorthair Mix","Black","2005-06-25T00:00:00","2014-10-17T11:26:00","Polly","Partner","Transfer","Spayed Female",1
"472","A476706.1","8 years","A476706","Dog","Doberman Pinsch Mix","Chocolate/Tan","2015-01-06T12:47:00.000","Austin (TX)","Normal","Owner Surrender","Rocky","Neutered Male",1,"8 years","A476706","Dog","Doberman Pinsch Mix","Chocolate/Tan","2006-08-25T00:00:00","2015-01-12T11:32:00","Rocky","Aggressive","Euthanasia","Neutered Male",1
"473","A476741.1","6 years","A476741","Cat","Snowshoe Mix","Lilac Point","2014-03-22T16:44:00.000","Austin (TX)","Normal","Owner Surrender","Jasmine","Spayed Female",1,"6 years","A476741","Cat","Snowshoe Mix","Lilac Point","2007-04-25T00:00:00","2014-04-06T13:30:00","Jasmine","","Adoption","Spayed Female",1
"474","A476874.1","9 years","A476874","Dog","Pit Bull Mix","Chocolate/White","2016-11-09T14:45:00.000","Austin (TX)","Sick","Owner Surrender","Dolla","Spayed Female",1,"9 years","A476874","Dog","Pit Bull Mix","Chocolate/White","2007-02-17T00:00:00","2016-11-11T13:42:00","Dolla","Suffering","Euthanasia","Spayed Female",1
"475","A477516.1","10 years","A477516","Dog","Boston Terrier Mix","Brown Brindle/White","2016-02-20T15:36:00.000","12311 Little Emily Way in Austin (TX)","Normal","Stray","Amos","Neutered Male",1,"10 years","A477516","Dog","Boston Terrier Mix","Brown Brindle/White","2005-07-03T00:00:00","2016-02-21T18:14:00","Amos","","Return to Owner","Neutered Male",1
"476","A477746.1","8 years","A477746","Cat","Domestic Shorthair Mix","Brown Tabby","2015-02-24T12:54:00.000","Austin (TX)","Normal","Owner Surrender","Sadie","Spayed Female",1,"8 years","A477746","Cat","Domestic Shorthair Mix","Brown Tabby","2006-11-05T00:00:00","2015-04-24T07:36:00","Sadie","Foster","Adoption","Spayed Female",1
"477","A477934.1","7 years","A477934","Dog","Pit Bull Mix","Red/White","2013-10-01T17:48:00.000","3808 S. 1St St in Austin (TX)","Normal","Stray","Suzie Q","Spayed Female",1,"7 years","A477934","Dog","Pit Bull Mix","Red/White","2006-06-06T00:00:00","2013-10-02T14:35:00","Suzie Q","","Return to Owner","Spayed Female",1
"478","A478206.1","8 years","A478206","Dog","Miniature Schnauzer Mix","Black","2015-08-24T11:19:00.000","Apple Orchard And Cottonwood St in Austin (TX)","Normal","Stray","Kobe","Neutered Male",1,"8 years","A478206","Dog","Miniature Schnauzer Mix","Black","2007-04-08T00:00:00","2015-08-24T17:23:00","Kobe","","Return to Owner","Neutered Male",1
"479","A478560.1","7 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2014-03-09T16:18:00.000","Austin (TX)","Normal","Public Assist","Noel","Spayed Female",1,"7 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2007-01-14T00:00:00","2014-03-16T09:57:00","Noel","","Return to Owner","Spayed Female",1
"480","A478560.2","9 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2016-03-19T12:06:00.000","Austin (TX)","Normal","Owner Surrender","Noel","Spayed Female",2,"9 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2007-01-14T00:00:00","2016-04-03T12:21:00","Noel","","Adoption","Spayed Female",2
"481","A478560.3","9 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2016-04-07T18:44:00.000","Pflugerville (TX)","Normal","Owner Surrender","Noel","Spayed Female",3,"9 years","A478560","Dog","Australian Cattle Dog Mix","Blue Tick/Brown","2007-01-14T00:00:00","2016-05-07T13:18:00","Noel","Foster","Adoption","Spayed Female",3
"482","A478579.1","12 years","A478579","Dog","Chow Chow Mix","Brown/Tan","2014-03-06T13:12:00.000","Austin (TX)","Aged","Owner Surrender","Natasha","Spayed Female",1,"12 years","A478579","Dog","Chow Chow Mix","Brown/Tan","2001-07-11T00:00:00","2014-03-07T17:35:00","Natasha","Medical","Euthanasia","Spayed Female",1
"483","A478957.1","9 years","A478957","Cat","Domestic Shorthair","White/Brown Tabby","2017-01-23T09:05:00.000","Austin (TX)","Normal","Owner Surrender","Hawk","Neutered Male",1,"9 years","A478957","Cat","Domestic Shorthair","White/Brown Tabby","2007-04-19T00:00:00","2017-01-27T12:32:00","Hawk","","Return to Owner","Neutered Male",1
"484","A479137.1","9 years","A479137","Dog","Black Mouth Cur Mix","Brown/Black","2014-03-28T15:39:00.000","Austin (TX)","Normal","Owner Surrender","Abby","Spayed Female",1,"9 years","A479137","Dog","Black Mouth Cur Mix","Brown/Black","2005-01-04T00:00:00","2014-04-03T11:52:00","Abby","","Adoption","Spayed Female",1
"485","A479150.1","9 years","A479150","Cat","Domestic Shorthair","Black/White","2017-03-20T11:39:00.000","Austin (TX)","Normal","Owner Surrender","Izzie","Spayed Female",1,"9 years","A479150","Cat","Domestic Shorthair","Black/White","2007-06-14T00:00:00","2017-03-23T00:00:00","Izzie","Partner","Transfer","Spayed Female",1
"486","A481727.1","8 years","A481727","Dog","Labrador Retriever Mix","Tan/White","2015-04-07T11:01:00.000","Austin (TX)","Normal","Owner Surrender","Brodie","Neutered Male",1,"8 years","A481727","Dog","Labrador Retriever Mix","Tan/White","2006-11-06T00:00:00","2015-04-08T14:53:00","Brodie","","Return to Owner","Neutered Male",1
"487","A482046.1","7 years","A482046","Dog","Pit Bull Mix","White/Gold","2014-07-21T09:56:00.000","Valerian Tea Dr & Peppermint Trl in Austin (TX)","Injured","Stray","Charlie","Neutered Male",1,"7 years","A482046","Dog","Pit Bull Mix","White/Gold","2007-05-29T00:00:00","2014-07-25T15:18:00","Charlie","Suffering","Euthanasia","Neutered Male",1
"488","A482334.1","9 years","A482334","Dog","Australian Cattle Dog Mix","Brown/White","2015-12-29T12:47:00.000","Austin (TX)","Normal","Owner Surrender","*Ramona","Spayed Female",1,"9 years","A482334","Dog","Australian Cattle Dog Mix","Brown/White","2006-08-11T00:00:00","2016-01-03T13:59:00","*Ramona","","Return to Owner","Spayed Female",1
"489","A482518.1","7 years","A482518","Dog","Australian Cattle Dog/Border Collie","Tricolor","2014-06-27T13:11:00.000","47Th /Ave F in Austin (TX)","Normal","Stray","Gus","Neutered Male",1,"7 years","A482518","Dog","Australian Cattle Dog/Border Collie","Tricolor","2007-06-13T00:00:00","2014-06-28T12:53:00","Gus","","Return to Owner","Neutered Male",1
"490","A482683.1","15 years","A482683","Dog","Labrador Retriever","Yellow","2015-05-17T11:35:00.000","N Lamar Blvd & San Gabriel St in Austin (TX)","Normal","Stray","Tator","Spayed Female",1,"15 years","A482683","Dog","Labrador Retriever","Yellow","2000-03-14T00:00:00","2015-05-17T16:14:00","Tator","","Return to Owner","Spayed Female",1
"491","A483240.1","6 years","A483240","Cat","Domestic Longhair/Persian","Blue Cream","2013-11-30T14:30:00.000","Outside Jurisdiction","Normal","Owner Surrender","Frassina","Spayed Female",1,"6 years","A483240","Cat","Domestic Longhair/Persian","Blue Cream","2007-06-17T00:00:00","2013-11-16T15:58:00","Frassina","","Adoption","Spayed Female",1
"492","A483604.1","10 years","A483604","Dog","Pit Bull Mix","Brown Brindle/White","2017-12-24T11:48:00.000","North Pleasant Valley Road And East 5Th Street in Austin (TX)","Normal","Stray","Gracie","Spayed Female",1,"10 years","A483604","Dog","Pit Bull Mix","Brown Brindle/White","2007-02-25T00:00:00","2017-12-24T13:36:00","Gracie","","Return to Owner","Spayed Female",1
"493","A483647.1","13 years","A483647","Dog","Shih Tzu Mix","White/Gray","2014-04-06T11:00:00.000","5762 N Mopac Expressway Northbound in Austin (TX)","Normal","Public Assist","Bear","Neutered Male",1,"13 years","A483647","Dog","Shih Tzu Mix","White/Gray","2001-01-22T00:00:00","2014-04-06T13:03:00","Bear","","Return to Owner","Neutered Male",1
"494","A484400.1","7 years","A484400","Dog","Pit Bull/Labrador Retriever","Black","2014-01-31T16:25:00.000","11615 Pearwood Pl in Austin (TX)","Normal","Public Assist","Beauby","Neutered Male",1,"7 years","A484400","Dog","Pit Bull/Labrador Retriever","Black","2006-06-06T00:00:00","2014-02-27T16:04:00","Beauby","","Return to Owner","Neutered Male",1
"495","A484400.2","10 years","A484400","Dog","Pit Bull/Labrador Retriever","Black","2017-05-28T20:19:00.000","12221 North Mopac in Austin (TX)","Normal","Stray","Beauby","Neutered Male",2,"10 years","A484400","Dog","Pit Bull/Labrador Retriever","Black","2006-06-06T00:00:00","2017-05-29T19:20:00","Beauby","","Return to Owner","Neutered Male",2
"496","A484463.1","9 years","A484463","Cat","Domestic Shorthair Mix","Brown Tabby/White","2016-04-24T15:44:00.000","Archeleta Blvd & Rain Lily Dr in Austin (TX)","Normal","Stray","Tully","Neutered Male",1,"9 years","A484463","Cat","Domestic Shorthair Mix","Brown Tabby/White","2007-04-03T00:00:00","2016-04-25T11:41:00","Tully","","Return to Owner","Neutered Male",1
"497","A484851.1","10 years","A484851","Dog","Tibetan Terrier Mix","Cream/Black","2016-05-17T19:10:00.000","Riverside Dr And Lakeshore Ave in Austin (TX)","Normal","Stray","Lucy","Spayed Female",1,"10 years","A484851","Dog","Tibetan Terrier Mix","Cream/Black","2005-09-11T00:00:00","2016-05-26T16:28:00","Lucy","","Adoption","Spayed Female",1
"498","A484925.1","7 years","A484925","Dog","Australian Shepherd/Labrador Retriever","Brown/Tan","2014-12-06T12:07:00.000","8011 Beckett Rd in Austin (TX)","Sick","Stray","Autumn","Intact Female",1,"7 years","A484925","Dog","Australian Shepherd/Labrador Retriever","Brown/Tan","2007-07-01T00:00:00","2014-12-15T14:04:00","Autumn","Partner","Transfer","Intact Female",1
"499","A484945.1","7 years","A484945","Cat","Domestic Shorthair Mix","Black","2015-04-10T14:48:00.000","Austin (TX)","Normal","Owner Surrender","Johnnie","Neutered Male",1,"7 years","A484945","Cat","Domestic Shorthair Mix","Black","2007-06-30T00:00:00","2015-05-31T00:00:00","Johnnie","Partner","Transfer","Neutered Male",1
"500","A485350.1","10 years","A485350","Dog","Chinese Sharpei","Black","2017-02-21T14:17:00.000","N Capital Of Texas Hwy & Spicewood Springs Rd in Austin (TX)","Normal","Stray","Cooper","Neutered Male",1,"10 years","A485350","Dog","Chinese Sharpei","Black","2007-02-04T00:00:00","2017-02-21T16:40:00","Cooper","","Return to Owner","Neutered Male",1
"501","A485352.1","11 years","A485352","Cat","Domestic Shorthair Mix","Brown Tabby","2014-08-06T12:21:00.000","Austin (TX)","Normal","Owner Surrender","Sissy","Spayed Female",1,"11 years","A485352","Cat","Domestic Shorthair Mix","Brown Tabby","2003-05-29T00:00:00","2014-09-04T14:27:00","Sissy","","Adoption","Spayed Female",1
"502","A485651.1","6 years","A485651","Dog","Doberman Pinsch","Red/Tan","2013-11-02T16:32:00.000","Wincup Willow in Travis (TX)","Normal","Stray","Bambi","Spayed Female",1,"6 years","A485651","Dog","Doberman Pinsch","Red/Tan","2007-05-09T00:00:00","2013-11-02T17:42:00","Bambi","","Return to Owner","Spayed Female",1
"503","A485674.1","9 years","A485674","Dog","Miniature Schnauzer","White","2014-12-24T14:49:00.000","Stassney Lane & Knuckles Crossing in Austin (TX)","Normal","Stray","Ghost","Neutered Male",1,"9 years","A485674","Dog","Miniature Schnauzer","White","2005-09-09T00:00:00","2014-12-29T11:37:00","Ghost","","Adoption","Neutered Male",1
"504","A485940.1","11 years","A485940","Dog","Labrador Retriever Mix","Red/White","2015-10-08T14:15:00.000","Austin (TX)","Normal","Owner Surrender","Gloria","Spayed Female",1,"11 years","A485940","Dog","Labrador Retriever Mix","Red/White","2004-09-11T00:00:00","2015-10-24T12:20:00","Gloria","","Adoption","Spayed Female",1
"505","A485955.1","14 years","A485955","Dog","Lhasa Apso","White/Cream","2016-11-20T15:47:00.000","6200 Tara Dr in Austin (TX)","Normal","Stray","Mr. Big","Neutered Male",1,"14 years","A485955","Dog","Lhasa Apso","White/Cream","2002-09-11T00:00:00","2016-11-21T14:09:00","Mr. Big","","Return to Owner","Neutered Male",1
"506","A486513.1","8 years","A486513","Cat","Domestic Shorthair Mix","White/Black","2015-01-27T15:42:00.000","8401 Hathaway Drive in Austin (TX)","Normal","Stray","Toby","Neutered Male",1,"8 years","A486513","Cat","Domestic Shorthair Mix","White/Black","2006-09-17T00:00:00","2015-01-28T13:36:00","Toby","","Return to Owner","Neutered Male",1
"507","A486573.1","9 years","A486573","Dog","Beagle","Tricolor","2016-04-10T12:54:00.000","Austin (TX)","Sick","Euthanasia Request","Dash","Neutered Male",1,"9 years","A486573","Dog","Beagle","Tricolor","2007-04-10T00:00:00","2016-04-11T18:36:00","Dash","Partner","Transfer","Neutered Male",1
"508","A486687.1","8 years","A486687","Dog","Labrador Retriever/Pit Bull","Brown/White","2015-08-30T12:51:00.000","Chisos Pass And Raton Pass in Austin (TX)","Normal","Stray","Lala","Spayed Female",1,"8 years","A486687","Dog","Labrador Retriever/Pit Bull","Brown/White","2007-07-22T00:00:00","2015-09-01T16:01:00","Lala","","Return to Owner","Spayed Female",1
"509","A486898.1","9 years","A486898","Dog","Beagle Mix","Black/White","2014-12-09T11:04:00.000","E 11Th St & Chicon St in Austin (TX)","Normal","Stray","Big Foot","Neutered Male",1,"9 years","A486898","Dog","Beagle Mix","Black/White","2005-09-20T00:00:00","2014-12-10T16:38:00","Big Foot","","Return to Owner","Neutered Male",1
"510","A487013.1","10 years","A487013","Dog","Boxer/Pit Bull","White/Black","2015-05-15T13:54:00.000","5302 Hwy 71 10B in Travis (TX)","Sick","Public Assist","Mystical","Neutered Male",1,"10 years","A487013","Dog","Boxer/Pit Bull","White/Black","2004-09-21T00:00:00","2015-05-15T17:01:00","Mystical","","Return to Owner","Neutered Male",1
"511","A487253.1","6 years","A487253","Cat","Domestic Longhair Mix","Black Smoke","2014-04-16T14:03:00.000","3209 S Ih 35 in Austin (TX)","Normal","Owner Surrender","Artemis","Neutered Male",1,"6 years","A487253","Cat","Domestic Longhair Mix","Black Smoke","2007-07-23T00:00:00","2014-05-18T15:11:00","Artemis","","Adoption","Neutered Male",1
"512","A487253.2","8 years","A487253","Cat","Domestic Longhair Mix","Black Smoke","2016-01-08T14:47:00.000","Austin (TX)","Normal","Owner Surrender","Artemis","Neutered Male",2,"8 years","A487253","Cat","Domestic Longhair Mix","Black Smoke","2007-07-23T00:00:00","2016-01-30T16:31:00","Artemis","","Adoption","Neutered Male",2
"513","A487470.1","9 years","A487470","Dog","Labrador Retriever/Pit Bull","Black","2014-01-20T14:36:00.000","Austin (TX)","Normal","Owner Surrender","Midnight","Neutered Male",1,"9 years","A487470","Dog","Labrador Retriever/Pit Bull","Black","2004-09-25T00:00:00","2014-01-20T18:40:00","Midnight","Aggressive","Euthanasia","Neutered Male",1
"514","A488066.1","7 years","A488066","Dog","Border Collie Mix","Brown/White","2014-06-18T15:13:00.000","Hwy 71 And Old Bee Caves Road in Austin (TX)","Normal","Stray","Doc","Neutered Male",1,"7 years","A488066","Dog","Border Collie Mix","Brown/White","2007-01-01T00:00:00","2014-06-30T11:37:00","Doc","","Adoption","Neutered Male",1
"515","A488203.1","8 years","A488203","Dog","Beagle Mix","Brown/Black","2015-02-20T13:18:00.000","1115 E 3Rd in Austin (TX)","Normal","Public Assist","Piolin","Neutered Male",1,"8 years","A488203","Dog","Beagle Mix","Brown/Black","2006-10-02T00:00:00","2015-03-02T17:28:00","Piolin","","Return to Owner","Neutered Male",1
"516","A488204.1","11 years","A488204","Dog","Collie Rough/German Shepherd","Brown/Black","2017-03-15T13:53:00.000","1115 E 3Rd St in Austin (TX)","Normal","Stray","Lolo","Neutered Male",1,"11 years","A488204","Dog","Collie Rough/German Shepherd","Brown/Black","2005-10-02T00:00:00","2017-03-23T15:56:00","Lolo","","Return to Owner","Neutered Male",1
"517","A488234.1","8 years","A488234","Dog","German Shepherd/Labrador Retriever","Brown/Black","2014-03-05T14:03:00.000","4807 Clear View in Travis (TX)","Normal","Public Assist","Spot","Neutered Male",1,"8 years","A488234","Dog","German Shepherd/Labrador Retriever","Brown/Black","2005-10-02T00:00:00","2014-03-12T14:57:00","Spot","","Return to Owner","Neutered Male",1
"518","A488304.1","8 years","A488304","Dog","Parson Russell Terrier Mix","White/Brown","2014-05-19T06:45:00.000","4434 Frontier Trl in Austin (TX)","Normal","Stray","Jack","Neutered Male",1,"8 years","A488304","Dog","Parson Russell Terrier Mix","White/Brown","2005-10-03T00:00:00","2014-05-19T12:11:00","Jack","","Return to Owner","Neutered Male",1
"519","A488740.1","8 years","A488740","Dog","Pit Bull","Brown Brindle/White","2015-03-11T13:58:00.000","Austin (TX)","Normal","Owner Surrender","Chico","Neutered Male",1,"8 years","A488740","Dog","Pit Bull","Brown Brindle/White","2006-10-07T00:00:00","2015-03-28T11:13:00","Chico","Partner","Transfer","Neutered Male",1
"520","A489376.1","10 years","A489376","Dog","Boxer Mix","Brown Brindle/White","2014-01-04T02:55:00.000","Prado St in Austin (TX)","Normal","Public Assist","Buster","Neutered Male",1,"10 years","A489376","Dog","Boxer Mix","Brown Brindle/White","2003-10-16T00:00:00","2014-02-17T17:09:00","Buster","","Return to Owner","Neutered Male",1
"521","A489376.2","11 years","A489376","Dog","Boxer Mix","Brown Brindle/White","2015-05-26T13:49:00.000","1701 Em Franklin in Austin (TX)","Injured","Stray","Buster","Neutered Male",2,"11 years","A489376","Dog","Boxer Mix","Brown Brindle/White","2003-10-16T00:00:00","2015-05-30T15:53:00","Buster","Medical","Euthanasia","Neutered Male",2
"522","A489415.1","9 years","A489415","Cat","Domestic Shorthair Mix","White","2017-08-24T12:27:00.000","Austin (TX)","Normal","Owner Surrender","Pierre","Neutered Male",1,"9 years","A489415","Cat","Domestic Shorthair Mix","White","2007-09-27T00:00:00","2017-09-04T17:12:00","Pierre","","Adoption","Neutered Male",1
"523","A489417.1","9 years","A489417","Cat","Domestic Shorthair Mix","Brown Tabby/White","2017-08-24T12:20:00.000","Austin (TX)","Normal","Owner Surrender","Fifi","Spayed Female",1,"9 years","A489417","Cat","Domestic Shorthair Mix","Brown Tabby/White","2007-09-27T00:00:00","2017-08-27T14:00:00","Fifi","","Adoption","Spayed Female",1
"524","A489464.1","8 years","A489464","Dog","Pit Bull/Labrador Retriever","Red/Black","2015-11-15T15:57:00.000","4603 Nuckols Crossing in Austin (TX)","Normal","Stray","Diamond","Spayed Female",1,"8 years","A489464","Dog","Pit Bull/Labrador Retriever","Red/Black","2007-09-02T00:00:00","2015-11-15T17:56:00","Diamond","","Return to Owner","Spayed Female",1
"525","A489503.1","7 years","A489503","Cat","Domestic Shorthair Mix","White/Brown Tabby","2014-09-21T14:44:00.000","Austin (TX)","Sick","Euthanasia Request","Dezi","Spayed Female",1,"7 years","A489503","Cat","Domestic Shorthair Mix","White/Brown Tabby","2007-05-15T00:00:00","2014-09-21T16:26:00","Dezi","Suffering","Euthanasia","Spayed Female",1
"526","A489686.1","13 years","A489686","Dog","Chihuahua Shorthair","Tan/White","2015-11-01T11:47:00.000","Mt Vernon Dr And Green Forest Dr in Austin (TX)","Normal","Stray","Juan","Neutered Male",1,"13 years","A489686","Dog","Chihuahua Shorthair","Tan/White","2002-10-16T00:00:00","2015-11-01T14:43:00","Juan","","Return to Owner","Neutered Male",1
"527","A489704.1","14 years","A489704","Dog","German Shepherd","Sable","2015-03-09T11:05:00.000","Austin (TX)","Normal","Owner Surrender","Duke","Neutered Male",1,"14 years","A489704","Dog","German Shepherd","Sable","2001-03-09T00:00:00","2015-03-19T17:34:00","Duke","","Adoption","Neutered Male",1
"528","A489912.1","10 years","A489912","Dog","Chihuahua Shorthair Mix","Tan/White","2016-02-01T15:12:00.000","Austin (TX)","Aged","Owner Surrender","Jiggs","Neutered Male",1,"10 years","A489912","Dog","Chihuahua Shorthair Mix","Tan/White","2005-10-18T00:00:00","2016-02-10T19:00:00","Jiggs","","Adoption","Neutered Male",1
"529","A490091.1","9 years","A490091","Dog","Pit Bull Mix","Black/White","2015-09-22T14:53:00.000","Austin (TX)","Sick","Euthanasia Request","Oreo","Spayed Female",1,"9 years","A490091","Dog","Pit Bull Mix","Black/White","2006-04-19T00:00:00","2015-09-22T17:14:00","Oreo","Suffering","Euthanasia","Spayed Female",1
"530","A490776.1","8 years","A490776","Dog","Miniature Schnauzer Mix","Silver/Brown","2014-05-11T14:34:00.000","Lamar Blvd And Longspur in Austin (TX)","Normal","Stray","Buddy","Neutered Male",1,"8 years","A490776","Dog","Miniature Schnauzer Mix","Silver/Brown","2005-10-25T00:00:00","2014-05-11T15:54:00","Buddy","","Return to Owner","Neutered Male",1
"531","A490893.1","9 years","A490893","Dog","Siberian Husky","Red/White","2016-04-27T13:03:00.000","Panadero Dr Thaxton Dr in Austin (TX)","Normal","Stray","Mickey","Neutered Male",1,"9 years","A490893","Dog","Siberian Husky","Red/White","2007-01-27T00:00:00","2016-04-28T15:47:00","Mickey","","Return to Owner","Neutered Male",1
